osm_type,osm_id,kind,name,brand,operator,addr_full,addr_street,addr_city,addr_postcode,opening_hours,phone,website,lat,lon,nearest_charger_km,site_score
node,2813342187,fuel_agil,عجيل,Agil,SNDP,,,,,,,,33.8837938,10.0862073,123.14479088838627,123.34479088838627
node,7468425255,fuel_agil,Agil Tabarka,Agil,,,,,,,,,36.9461033,8.7593061,122.67229243906436,122.87229243906437
node,9360947248,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,جندوبة,,,,,36.5038033,8.78747,122.31058643217595,122.51058643217596
node,7468425227,fuel_agil,عجيل,Agil,,,,,,,,,33.899017,10.073753,122.27352893346622,122.47352893346623
node,9905413571,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,سيدي بوزيد,,,,,35.0389844,9.4918913,118.12882837497088,118.32882837497088
node,2165970340,fuel_agil,Agil Kairouan GPL,عجيل,الشركة الوطنية لتوزيع البترول,,,,,,,,35.7114403,10.1075038,113.86893226134312,114.06893226134312
node,12526639023,fuel_agil,AGIL oueslatia,,,,,,,,,,35.8462354,9.5957105,112.34674457454555,112.54674457454556
node,5811750154,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.813832,10.6286922,109.07529523437944,109.27529523437944
node,2094071829,fuel_agil, عجبل,Agil,Agil,,,,,,,,35.8135428,10.6286645,109.04363102692076,109.24363102692077
node,9040825129,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.8588202,10.5975294,108.70829998055956,108.90829998055956
node,9366250219,fuel_agil,عجيل,Agil,,,,,,,,,34.6087069,9.6174612,107.93555227571164,108.13555227571165
node,7468425238,fuel_agil,Menzel Mehiri,Agil,,,,,,,,,35.4269243,9.8542649,105.47784841494824,105.67784841494824
node,9360947284,fuel_agil,عجيل,Agil,,,,,,,,,36.6138041,8.9805567,102.89991552978172,103.09991552978173
node,9372302454,fuel_agil,عجيل,Agil,Agil,,َشارع الطيب المهيري,,,,,,36.0836648,9.3745101,100.83440184075626,101.03440184075626
node,4513882421,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,24/7,,,35.732378,10.574056,100.81407567228351,101.01407567228351
node,9056163920,fuel_agil,عجيل,Agil,,,,,,,,,35.6925569,10.7918549,94.92188167473824,95.12188167473825
node,9019949058,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.9321686,10.3001188,93.93650762346662,94.13650762346663
node,7468425258,fuel_agil,Amdoun,Agil,,,,,,,,,36.762912,9.0763842,92.89558493188156,93.09558493188156
node,1225571901,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,5070.0,,,,35.6609233,10.8741033,91.91073340863204,92.11073340863204
node,7468425256,fuel_agil,Sidi Smail,Agil,,,,,,,,,36.5999674,9.1094398,91.88166906191098,92.08166906191099
node,5760071216,fuel_agil,عجيل,Agil,Agil,,,,,,,,35.6374531,10.8961952,89.56221711939882,89.76221711939883
node,9372026888,fuel_agil,عجيل,Agil,,,,برقو,6170.0,,,,36.0936156,9.5697179,89.32300300499459,89.52300300499459
node,9457435878,fuel_agil,عجيل,Agil,,,,,,,,,34.8609999,9.7961988,88.41187671173404,88.61187671173404
node,7468425250,fuel_agil,Agil Touza,Agil,,,,,,,,,35.6304612,10.81925,88.12446873602143,88.32446873602143
node,9047566145,fuel_agil,Agil Skhira,Agil,SNDP,,,,,,,,34.2989222,10.0695926,87.5209461848256,87.7209461848256
node,7468425232,fuel_agil,Agil Ouled Haffouz,Agil,,,,,,,,,35.08225,9.873583,85.58690345756666,85.78690345756667
way,191002808,fuel_agil,عجيل,AGIL,,,,,,,,,36.332625,9.3276351,85.46402502254374,85.66402502254374
node,7468425257,fuel_agil,عجيل,Agil,,,,Béja,,,,,36.7267491,9.1895296,82.94132451654684,83.14132451654685
node,1439531922,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.0410927,10.327059,82.54022110652889,82.74022110652889
node,9003651950,fuel_agil,Aire de Service AGIL El Borgine,Agil,,,,,,,,,35.5670523,10.6148317,82.07203297767458,82.27203297767458
node,7468425218,fuel_agil,Dar Allouche,Agil,,,,,,,,,36.971651,11.048776,78.96457656306275,79.16457656306275
node,1808578229,fuel_agil,AGIL Sidi Bennour,AGIL,,,,,,,,,35.5328497,10.9153757,78.3370550028245,78.5370550028245
node,7468425231,fuel_agil,عجيل,Agil,SNDP,,,,,,,,34.9623446,9.9481973,75.71130595178064,75.91130595178065
node,1374300495,fuel_agil,عجيل,Agil,,,,منزل سالم,,,,,37.032521,10.973159,74.74546296327951,74.94546296327951
node,9881016549,fuel_agil,عجيل,Agil,,,,,,,,,35.4695956,10.6576269,70.77049365931008,70.97049365931008
